TEAM_ID,TEAM_NAME,SEASON,RA_FGM,RA_FGA,PT_FGM,PT_FGA,MR_FGM,MR_FGA,AB_FGM,AB_FGA,CN_FGM,CN_FGA
1610612753,Orlando Magic,2019,1337,2092,468,1152,575,1432,734,2078,202,530
1610612755,Philadelphia 76ers,2019,1555,2361,470,1167,495,1236,711,1991,176,467
1610612756,Phoenix Suns,2019,1506,2384,534,1241,460,1142,592,1794,196,589
1610612757,Portland Trail Blazers,2019,1617,2678,404,981,545,1251,757,2102,147,407
1610612758,Sacramento Kings,2019,1552,2464,574,1468,490,1252,719,1915,206,521
1610612759,San Antonio Spurs,2019,1146,1759,627,1380,883,2039,618,1630,194,425
1610612761,Toronto Raptors,2019,1501,2349,487,1135,458,1053,677,1962,337,791
1610612762,Utah Jazz,2019,1656,2544,385,1023,280,724,675,1934,317,838
1610612764,Washington Wizards,2019,1681,2523,371,944,475,1189,700,2092,229,627
1610612737,Atlanta Hawks,2020,1255,1958,434,1098,229,597,629,1882,176,520
1610612738,Boston Celtics,2020,1302,2087,417,1059,347,814,720,1985,185,481
1610612751,Brooklyn Nets,2020,1448,2339,336,913,185,504,705,2105,234,624
1610612766,Charlotte Hornets,2020,1162,1962,348,985,131,409,598,1739,186,477
1610612741,Chicago Bulls,2020,1293,2148,315,839,173,493,587,1736,205,534
1610612739,Cleveland Cavaliers,2020,1147,1889,454,1053,291,707,558,1638,169,421
1610612742,Dallas Mavericks,2020,1263,1875,418,1064,308,744,863,2400,272,670
1610612743,Denver Nuggets,2020,1356,2074,461,1160,454,1028,595,1706,203,502
1610612765,Detroit Pistons,2020,1203,1918,389,1046,214,542,521,1503,267,636
1610612744,Golden State Warriors,2020,1029,1645,394,1026,409,1028,521,1622,157,398
1610612745,Houston Rockets,2020,1398,2180,253,677,161,398,804,2410,320,837
1610612754,Indiana Pacers,2020,1352,2160,448,986,532,1265,549,1545,194,491
1610612746,LA Clippers,2020,1277,2007,441,1045,383,970,635,1751,256,641
1610612747,Los Angeles Lakers,2020,1564,2266,310,812,350,951,533,1615,249,615
1610612763,Memphis Grizzlies,2020,1358,2120,681,1523,270,696,604,1770,193,513
1610612748,Miami Heat,2020,1214,1815,387,945,300,817,736,1926,243,638
1610612749,Milwaukee Bucks,2020,1422,2106,377,927,356,767,770,2220,235,609
1610612750,Minnesota Timberwolves,2020,1268,2038,305,870,160,419,699,2070,153,457
1610612740,New Orleans Pelicans,2020,1462,2302,332,885,291,757,714,1975,266,660
1610612752,New York Knicks,2020,1250,2058,354,913,406,1058,478,1450,150,410
1610612760,Oklahoma City Thunder,2020,1186,1851,459,1147,464,990,613,1700,156,449
1610612753,Orlando Magic,2020,1212,1919,445,1108,407,1089,665,1964,141,363
1610612755,Philadelphia 76ers,2020,1277,1962,457,1103,418,1047,653,1815,195,479
1610612756,Phoenix Suns,2020,1342,2107,401,968,433,1039,614,1730,216,577
1610612757,Portland Trail Blazers,2020,1239,2050,413,982,519,1195,744,2017,207,493
1610612758,Sacramento Kings,2020,1227,1910,465,1128,336,814,689,1931,225,573
1610612759,San Antonio Spurs,2020,1059,1646,489,1130,687,1554,581,1566,179,441
1610612761,Toronto Raptors,2020,1375,2250,308,808,220,615,759,2032,235,614
